cod_IBGE,Município__SINISA,Município__IBGE
1100098,Espigão D Oeste,Espigão D'Oeste
1100130,Machadinho D Oeste,Machadinho D'Oeste
1100148,Nova Brasilândia D Oeste,Nova Brasilândia D'Oeste
1100296,Santa Luzia D Oeste,Santa Luzia D'Oeste
1100346,Alvorada D Oeste,Alvorada D'Oeste
1101484,São Felipe D Oeste,São Felipe D'Oeste
1505551,Pau D Arco,Pau D'Arco
2107407,Olho d Água das Cunhãs,Olho d'Água das Cunhãs
2304277,Ererê,Ereré
2406205,Lagoa d Anta,Lagoa d'Anta
2408409,Olho-d Água do Borges,Olho d'Água do Borges
2510402,Olho d Água,Olho d'Água
2613800,São Vicente Ferrer,São Vicente Férrer
2705705,Olho d Água das Flores,Olho d'Água das Flores
2705804,Olho d Água do Casado,Olho d'Água do Casado
2705903,Olho d Água Grande,Olho d'Água Grande
2709004,Tanque d Arca,Tanque d'Arca
2800100,Amparo de São Francisco,Amparo do São Francisco
2803203,Itaporanga d Ajuda,Itaporanga d'Ajuda
2910057,Dias d Ávila,Dias d'Ávila
2917334,Iuiú,Iuiu
2922250,Muquém de São Francisco,Muquém do São Francisco
2928505,Santa Teresinha,Santa Terezinha
2932507,Una,Unas
3105509,Barão de Monte Alto,Barão do Monte Alto
3122900,Dona Eusébia,Dona Euzébia
3145455,Olhos-d Água,Olhos-d'Água
3147808,Passa-Vinte,Passa Vinte
3150539,Pingo-d Água,Pingo-d'Água
3165206,São Thomé das Letras,São Tomé das Letras
3502606,Aparecida D Oeste,Aparecida d'Oeste
3506607,Biritiba-Mirim,Biritiba Mirim
3515202,Estrela D Oeste,Estrela d'Oeste
3516101,Florínia,Florínea
3518008,Guarani D Oeste,Guarani d'Oeste
3522158,Itaóca,Itaoca
3535200,Palmeira D Oeste,Palmeira d'Oeste
3545803,Santa Bárbara D Oeste,Santa Bárbara d'Oeste
3546108,Santa Clara D Oeste,Santa Clara d'Oeste
3547403,Santa Rita D Oeste,Santa Rita d'Oeste
3549300,São João do Pau d Alho,São João do Pau d'Alho
3550001,São Luís do Paraitinga,São Luiz do Paraitinga
4107157,Diamante D Oeste,Diamante D'Oeste
4111209,Itapejara D Oeste,Itapejara d'Oeste
4119004,Pérola D Oeste,Pérola d'Oeste
4121356,Rancho Alegre D Oeste,Rancho Alegre D'Oeste
4125209,São Jorge D Oeste,São Jorge d'Oeste
4206108,Grão Pará,Grão-Pará
4206702,Herval D Oeste,Herval d'Oeste
4209607,Lauro Muller,Lauro Müller
4216057,São Cristovão do Sul,São Cristóvão do Sul
4317103,Santana do Livramento,Sant'Ana do Livramento
5103361,Conquista D Oeste,Conquista D'Oeste
5103957,Glória D Oeste,Glória D'Oeste
5105234,Lambari D Oeste,Lambari D'Oeste
5105622,Mirassol D Oeste,Mirassol d'Oeste
5220009,São João d Aliança,São João d'Aliança
5220702,Sítio d Abadia,Sítio d'Abadia
