index_name,index_formula,index_dependence,NOME DO INDICADOR,CÓDIGO,FÓRMULA DE CÁLCULO,Campo obrigatórios para calcular o indicador,Regras específicas para cálculo do indicador,is_possible,index_dependence_description
IAG0001,((GTA0001 + GTA0002) / DFE0001) * 100,,Atendimento da população total com rede de abastecimento de água,IAG0001,[(GTA0001 + GTA0002) / DFE0001] x 100,"GTA0001, GTA0002",Não calcular indicador se  (GTA0001 + GTA0002)  > DFE0001,TRUE,GTA0001: População urbana atendida com rede de abastecimento de água<br>GTA0002: População rural atendida com rede de abastecimento de água<br>DFE0001: População Total Residente
IAG0002,(GTA0001 / DFE0002) * 100,,Atendimento da população urbana com rede de abastecimento de água,IAG0002,(GTA0001 / DFE0002) x 100,GTA0001,Não calcular indicador se  GTA0001 > DFE0002,TRUE,GTA0001: População urbana atendida com rede de abastecimento de água<br>DFE0002: População Urbana Residente
IAG0003,(GTA0002 / DFE0003) * 100,,Atendimento da população rural com rede de abastecimento de água,IAG0003,(GTA0002 / DFE0003) x 100,GTA0002,Não calcular indicador se  GTA0002 > DFE0003,TRUE,GTA0002: População rural atendida com rede de abastecimento de água<br>DFE0003: População Rural Residente
IAG2001,(GTA1214 / (GTA1001 + GTA1009 - GTA1203)) * 100,,Micromedição de água em relação ao volume disponibilizado para distribuição,IAG2001,[GTA1214 / (GTA1001 + GTA1009 - GTA1203)] x 100,"GTA1001, GTA1009, GTA1203, GTA1214",Não calcular indicador se  (GTA1001 + GTA1009 - GTA1203)  < 0,TRUE,GTA1214: Volume de água micromedido<br>GTA1001: Volume de água produzido<br>GTA1009: Volume de água tratada importado<br>GTA1203: Volume de água tratada exportado
IAG2002,(GTA1214 / GTA1211) * 100,,Micromedição do volume de água consumido,IAG2002,(GTA1214 / GTA1211) x 100,"GTA1211, GTA1214",-,TRUE,GTA1214: Volume de água micromedido<br>GTA1211: Volume de água consumido
IAG2003,(GTA1005 / GTA1014) * 100,,Macromedição do volume de água de entrada no sistema de distribuição,IAG2003,(GTA1005 / GTA1014) x 100,"GTA1005, GTA1014",-,TRUE,GTA1005: Volume de água macromedido<br>GTA1014: Volume de entrada no subsistema de distribuição de água
IAG2010,((GTA1211 + GTA1207) / (GTA1001 + GTA1009 - GTA1203)) * 100,,Consumo de água em relação ao volume disponibilizado para distribuição,IAG2010,[(GTA1211 + GTA1207) / (GTA1001 + GTA1009 - GTA1203)] x 100,"GTA1001, GTA1009, GTA1203, GTA1207, GTA1211",-,TRUE,GTA1211: Volume de água consumido<br>GTA1207: Volume de água autorizado não faturado<br>GTA1001: Volume de água produzido<br>GTA1009: Volume de água tratada importado<br>GTA1203: Volume de água tratada exportado
IAG2011,(GTA1221 / (GTA1001 + GTA1009)) * 100,,Volume faturado de água em relação ao volume de entrada no sistema de distribuição,IAG2011,[GTA1221 / (GTA1001 + GTA1009)] x 100,"GTA1001, GTA1009, GTA1221",-,TRUE,GTA1221: Volume total de água faturado<br>GTA1001: Volume de água produzido<br>GTA1009: Volume de água tratada importado
IAG2012,((GTA1001 + GTA1009 - GTA1221) / (GTA1001 + GTA1009)) * 100,,Perdas de faturamento de água,IAG2012,[(GTA1001 + GTA1009 - GTA1221) / (GTA1001 + GTA1009)] x 100,"GTA1001, GTA1009, GTA1221",-,TRUE,GTA1001: Volume de água produzido<br>GTA1009: Volume de água tratada importado<br>GTA1221: Volume total de água faturado
IAG2013,((GTA1001 + GTA1009 -  GTA1207 - GTA1211 - GTA1203) / (GTA1001 + GTA1009)) * 100,,Perdas totais de água na distribuição,IAG2013,[(GTA1001 + GTA1009 -  GTA1207 - GTA1211 - GTA1203) / (GTA1001 + GTA1009)] x 100,"GTA1001, GTA1009, GTA1203, GTA1207, GTA1211","Não calcular indicador se  (GTA1001 + GTA1009 -  GTA1207 - GTA1211 - GTA1203)  < 0

Não calcular indicador se (GTA1203 > 5 * GTA1211)",TRUE,GTA1001: Volume de água produzido<br>GTA1009: Volume de água tratada importado<br>GTA1207: Volume de água autorizado não faturado<br>GTA1211: Volume de água consumido<br>GTA1203: Volume de água tratada exportado
IAG2016,(GTA0006 / (GTA0003 + GTA0005)) * 100,,Incidência de ligações de água setorizadas,IAG2016,[GTA0006 / (GTA0003 + GTA0005)] x 100,"GTA0003, GTA0005, GTA0006",-,TRUE,GTA0006: Quantidade de ligações totais setorizadas de água<br>GTA0003: Quantidade de ligações ativas de água<br>GTA0005: Quantidade de ligações inativas de água
IAG2023,GTA1301 / (GTA1001 + GTA1009),,Consumo médio de energia elétrica no serviço de abastecimento de água,IAG2023,GTA1301 / (GTA1001 + GTA1009),"GTA1001, GTA1009, GTA1301",-,TRUE,GTA1301: Consumo total de energia elétrica no serviço de abastecimento água<br>GTA1001: Volume de água produzido<br>GTA1009: Volume de água tratada importado
IAG3001,GTA3002 / GTA3001,,Economias ativas de água atingidas por paralisações,IAG3001,GTA3002 / GTA3001,"GTA3001, GTA3002",-,TRUE,GTA3002: Quantidade de economias ativas atingidas por paralisações<br>GTA3001: Quantidade de paralisações com falta de água
IAG3002,GTA3005 / GTA3003,,Economias ativas de água atingidas por interrupções sistemáticas,IAG3002,GTA3005 / GTA3003,"GTA3003, GTA3005",-,TRUE,"GTA3005: Quantidade de economias ativas atingidas por interrupções sistemáticas<br>GTA3003: Quantidade de interrupções sistemáticas, resultando em racionamento ou rodízio"
IAG3003,GTA3104 / GTA3103,,Tempo médio de reparo de vazamentos de água,IAG3003,GTA3104 / GTA3103,"GTA3103, GTA3104",-,TRUE,GTA3104: Tempo total de reparos de vazamentos<br>GTA3103: Quantidade de vazamentos de água reparados no sistema de distribuição
IAG3006,(GTA3107 / GTA3106) * 100,,Incidência de pedidos de ligações de água executados,IAG3006,(GTA3107 / GTA3106) x 100,"GTA3106, GTA3107",-,TRUE,GTA3107: Quantidade de pedidos de ligação de água executados<br>GTA3106: Quantidade de pedidos de ligação de água recebidos
