Column,n_missing,n_valores_unicos,min_str_length,max_str_length
cod_IBGE,0,5242,7,7
Macrorregião,0,5,3,12
Município,0,4995,3,32
UF,0,27,2,2
Capital,5215,1,3,3
RM / RIDE,3870,88,14,77
CAD0002,0,39,9,67
CAD0003,0,10,5,38
CAD0005,0,1069,13,183
CAD0006,0,693,2,28
CAD2001,0,11,4,49
CAD2002,289,7,28,78
CAD2002A,4079,23,9,77
CAD2003,4,3,8,39
CAD2004,1309,6,11,64
CAD2004A,4072,35,1,70
CAD2005,882,1967,10,39
CAD2006,1437,1174,10,39
GTA0999,4691,206,1,1266
GTA1103,2517,43,1,14
GTA1999,3967,244,1,1594
GTA3004,3308,5,19,40
GTA3004A,4291,192,1,99
GTA3006,1209,132,1,16
GTA3109,34,3,3,39
GTA3999,4519,169,1,1296
