Column,n_missing,min,max,mean,cv
DFE0001,0,841,11566686,38459.27470431149,5.5874568823772055
DFE0002,0,164,11462712,32774.152041205736,6.501431783158227
DFE0003,0,0,189958,5685.122663105577,1.3225549288467602
GTA0001,4,0,11462712,30615.05803741885,6.773216218253173
GTA0002,4,0,184773,1379.3657884689,3.1874798912555087
GTA0003,4,0,3307070,10879.466972126855,5.281476310645406
GTA0004,4,0,3307013,10068.65005727368,5.535396504685452
GTA0005,4,0,226250,1407.41504390987,4.519959190308795
GTA0006,5,0,3448948,6445.200114569334,8.313466529490375
GTA0007,1610,0,55790,442.6365638766575,5.01809987535681
GTA0008,4,0,5259867,13484.219167621142,6.816394352710481
GTA0009,4,0,4904977,12150.638029782445,6.976024576659269
GTA0010,4,0,5243404,12908.246659030432,6.890411251206152
GTA0011,4,0,4945656,11679.987972508574,7.095535819271187
GTA0012,442,0,302467,1615.6616666666898,5.1722922974768775
GTA0013,550,0,269631,1350.791560102326,5.389928626796142
GTA0014,1617,0,110090,552.0328275861996,5.8357800884695745
GTA0015,4,0,64669,505.60729285987117,3.4757642812157354
GTA0016,4,0,62004,419.34746086291614,3.5163175517593563
GTA0017,816,0,15478,73.71599638499674,4.7076735900395255
GTA0018,1406,0,115447722,44984.24244004053,41.49502660629505
GTA1001,147,0,1395282.02,3533.3434779195272,8.40585183964639
GTA1002,216,0,1338944.23,2827.593135694381,10.192131944182833
GTA1003,215,0,176865.16,672.5684523572723,6.219532395313324
GTA1004,151,0,1338944.23,2593.6904360636354,10.980531896000718
GTA1005,150,0,1506450.34,3205.1465868028363,10.001523362534087
GTA1009,342,0,937416.39,668.5079081632606,21.965527652072353
GTA1013,146,0,1157.36,0.2920310047095859,56.42764255379882
GTA1014,4,0,1506450.34,4062.251578846885,8.501726738462247
GTA1101,2538,0,58000,60.632440828402686,21.90184012296817
GTA1102,4,0,24253.62,155.49285032455163,3.6436381960828137
GTA1203,346,0,1312876.58,712.9474101307313,28.907191396592168
GTA1204,147,0,9199.31,29.18877526987242,7.74179119548155
GTA1205,371,0,3243.03,5.212362964483647,12.091417394715396
GTA1206,371,0,95310.6,124.57132621638276,17.084496924733607
GTA1207,147,0,95381.61,153.26762708537765,14.385213547578557
GTA1208,4,0,148661881,53114.56319205444,39.4570524259201
GTA1209,147,0,599324.58,1658.6643905789983,6.599388294646567
GTA1210,151,0,150405.26,297.4328226281669,9.242377932633659
GTA1211,147,0,749729.84,1957.6668105986253,6.93487206967983
GTA1212,147,0,599324.58,1461.9098488714424,7.101606546458838
GTA1213,147,0,150405.26,246.6246830225718,9.947115253205116
GTA1214,147,0,749729.84,1708.5345318940142,7.481983297581422
GTA1215,3016,0,18871.16,158.94370170709786,4.629371572342361
GTA1216,2905,0,24186,108.39854514334603,8.050296692533516
GTA1217,2772,0,32586.12,245.80408097165986,5.365170448864803
GTA1218,4,-7369.92,471459.25,1226.7489633447876,7.949156366112687
GTA1219,147,0,706162.85,1693.2818783120692,7.1670619558504445
GTA1220,147,0,185094.32,90.78670853778308,32.48298520686448
GTA1221,4,0,1045379.02,2331.3650057273776,8.994570109716866
GTA1301,4,0,52099809,61896.73773004937,18.258449635459606
GTA3001,4,0,2107,26.301450935471692,3.8644155014410977
GTA3002,4,0,54161000,79824.62982054286,12.02609583584635
GTA3003,4,0,33473,113.84593356242429,7.071759580076131
GTA3005,4,0,78387884,95865.38621611193,15.502650119736499
GTA3101,4,0,24000000,6058.240549827802,55.34218639498682
GTA3102,600,0,286736,894.3468332615225,6.708581794161764
GTA3103,4,0,141494,709.2605956471957,5.513621145337925
GTA3104,10,0,4442421,21010.763761467766,7.127978350552671
GTA3106,4,0,1558208,949.1804123711058,24.42302913148066
GTA3107,4,0,106186,249.9104620083979,6.897895163704939
